codigo_docente,nome_docente
3764294,Alexandre Ferreira Ramos
2159731,Claudia Inés Garcia
2243307,Masayuki Oka Hase
618281,Antonio Calixto de Souza Filho
7029901,Grzegorz Kowal
2373511,Rogério Monteiro de Siqueira
1780347,Rosana Retsos Signorelli Vargas
6600021,Sonia Regina Paulino
314719,Ângela Maria Machado de Lima Hutchison
2009222,Victor Velazquez Fernandez
1661344,Wânia Duleba
1987427,Wagner Tadeu Iglecias
6631565,Carlos Alcides Salles
1606310,Paulo Rogério Miranda Correia
2373511,Rogério Monteiro de Siqueira
1916087,Thomás Augusto Santoro Haddad
4880153,Verónica Marcela Guridi
2009222,Victor Velazquez Fernandez
3416847,Humberto Miguel Garay Malpartida
799735,Luiz Paulo Moura Andrioli
1538291,Marcos Ryotaro Hara
1409522,Maria Elena Infante Malachias
1619061,Miriam Sannomiya
2341766,Carlos Molina Mendes
2872716,Diego Antonio Falceta Gonçalves
770448,Luis Paulo de Carvalho Piassi
463504,Celi Rodrigues Chaves Dominguez
889774,Luis Mochizuki
2181970,Ulysses Fernandes Ervilha
2181970,Ulysses Fernandes Ervilha
2166145,Antonio Takao Kanamaru
5530115,George Bedinelli Rossi
1603428,Miguel Angelo Hemzo
236942,Andrea Leite Rodrigues
627660,Alexandre Toshiro Igari
1882514,Sylmara Lopes Francelino Gonçalves Dias
1048221,Fábio Nakano
734621,Fátima de Lourdes dos Santos Nunes Marques
2933241,Flávio Luiz Coutinho
5603568,Candido Ferreira Xavier de Mendonça Neto
3082508,Helton Hideraldo Biscaro
3286158,Daniel de Angelis Cordeiro
2933241,Flávio Luiz Coutinho
1875968,Regis Rossi Alves Faria
1875968,Regis Rossi Alves Faria
1349898,Maria Silvia Barros de Held
655501,Andrea Viude Castanho
2065862,Sandra Lucia Amaral de Assis Reimão
1051844,Fernando de Souza Coelho
980651,Jorge Alberto Silva Machado Villanueva
1329307,Martin Jayo
1948868,Vivian Grace Fernandez Davila Urquidi
196611,Adriana Pedrosa Biscaia Tufaile
106172,Alberto Tufaile
138953,Carla Morsello
654070,Ariane Machado Lima
5765142,André Fontan Kohler
1112111,Jaime Crozatti
1945163,Roberto Vatan dos Santos
191432,Eduardo de Lima Caldas
1112111,Jaime Crozatti
6261191,Fernando Henrique Magalhães
6206615,Beatriz Helena Fonseca Ferreira Pires
597730,Cassio de Miranda Meira Junior
2342260,Marcelo Massa
3164916,Tiago Mauricio Francoy
161192,Beatriz Aparecida Ozello Gutierrez
5614629,Christiane Borges do Nascimento Chofakian
222018,Dora Mariela Salcedo Barrientos
2918077,Edna Tomiko Myiake Kato
2919791,Eliane Ribeiro
72832,Paulo Chanel Deodato de Freitas
1846019,Rosemeire Sartori de Albuquerque
556504,Andrea Lopes
161192,Beatriz Aparecida Ozello Gutierrez
5045503,Maria Cristina Pompa
864112,Luciana Maria Viviani
864112,Luciana Maria Viviani
3140792,Luciano Antonio Digiampietri
3140792,Luciano Antonio Digiampietri
1349898,Maria Silvia Barros de Held
2166145,Antonio Takao Kanamaru
1349898,Maria Silvia Barros de Held
3286158,Daniel de Angelis Cordeiro
3073748,Gisele da Silva Craveiro
7293313,Norton Trevisan Roman
918601,Luiz Carlos Beduschi Filho
191432,Eduardo de Lima Caldas
5033416,Claudia Regina Garcia Vicentini
1349898,Maria Silvia Barros de Held
4880153,Verónica Marcela Guridi
1034560,Lucy Gomes Sant Anna
6956592,Ana Carla Bliacheriene
3733052,Ester Gammardella Rizzi
5607659,Marcelo Arno Nerling
5998458,Paulo Santos de Almeida
1914262,Renato Braz Oliveira de Seixas
6956592,Ana Carla Bliacheriene
472709,David Diniz Dantas
3733052,Ester Gammardella Rizzi
5607659,Marcelo Arno Nerling
6956592,Ana Carla Bliacheriene
3733052,Ester Gammardella Rizzi
2937197,Luiz Gustavo Bambini de Assis
6956592,Ana Carla Bliacheriene
3733052,Ester Gammardella Rizzi
2937197,Luiz Gustavo Bambini de Assis
5607659,Marcelo Arno Nerling
6956592,Ana Carla Bliacheriene
3733052,Ester Gammardella Rizzi
2937197,Luiz Gustavo Bambini de Assis
5607659,Marcelo Arno Nerling
6956592,Ana Carla Bliacheriene
3733052,Ester Gammardella Rizzi
5607659,Marcelo Arno Nerling
6956592,Ana Carla Bliacheriene
3733052,Ester Gammardella Rizzi
2937197,Luiz Gustavo Bambini de Assis
5607659,Marcelo Arno Nerling
7480016,Bibiana Graeff Chagas Pinto
5128784,Juliana Hanna Leite El Ottra
5347246,Fernando Jesús Carbayo Baz
2355031,Rodrigo Hirata Willemart
770448,Luis Paulo de Carvalho Piassi
58676,Manoel Cabral de Castro
2181970,Ulysses Fernandes Ervilha
5033416,Claudia Regina Garcia Vicentini
1001570,Luís César Schiesari
2355031,Rodrigo Hirata Willemart
2355031,Rodrigo Hirata Willemart
358969,Cristina Adams
1001570,Luís César Schiesari
1252362,Paulo Antonio de Almeida Sinisgalli
